"Lat","Long","Month","Period","Offense","Season"
"36.848395"," -75.975093","JULY","NIGHT","ASSAULT","SUMMER"
"36.844792"," -76.027485","MAY","NIGHT","ASSAULT","SPRING"
"36.841723"," -76.048518","APRIL","EVENING","ASSAULT","SPRING"
"36.79908"," -76.016948","APRIL","NIGHT","ASSAULT","SPRING"
"36.849479"," -75.975392","AUGUST","NIGHT","ASSAULT","SUMMER"
"36.851247"," -76.094785","SEPTEMBER","NIGHT","ASSAULT","FALL"
"36.79669"," -76.092721","JULY","NIGHT","ASSAULT","SUMMER"
"36.793076"," -76.119071","NOVEMBER","AFTERNOON","ASSAULT","FALL"
"36.752969"," -76.059998","JUNE","MORNING","ASSAULT","SUMMER"
"36.849047"," -76.010492","DECEMBER","EVENING","ASSAULT","WINTER"
"36.812575"," -76.081368","AUGUST","EVENING","ASSAULT","SUMMER"
"36.84415"," -75.975239","MARCH","NIGHT","ASSAULT","SPRING"
"36.79045"," -76.003094","MAY","NIGHT","ASSAULT","SPRING"
"36.840375"," -76.019506","JUNE","NIGHT","ASSAULT","SUMMER"
"36.844511"," -75.973023","SEPTEMBER","NIGHT","ASSAULT","FALL"
"36.84348"," -76.055053","NOVEMBER","NIGHT","ASSAULT","FALL"
"36.853788"," -76.16722","SEPTEMBER","EVENING","ASSAULT","FALL"
"36.815511"," -76.105823","NOVEMBER","AFTERNOON","ASSAULT","FALL"
"36.855195"," -76.17268","SEPTEMBER","AFTERNOON","ASSAULT","FALL"
"36.808313"," -76.067774","JANUARY","EVENING","ASSAULT","WINTER"
"36.842197"," -76.160385","OCTOBER","MORNING","ASSAULT","FALL"
"36.814638"," -76.10459","APRIL","EVENING","ASSAULT","SPRING"
"36.794762"," -76.106223","MAY","AFTERNOON","ASSAULT","SPRING"
"36.896677"," -76.147755","JUNE","MORNING","ASSAULT","SUMMER"
"36.842762"," -76.012031","FEBRUARY","EVENING","ASSAULT","WINTER"
"36.752969"," -76.059998","JANUARY","AFTERNOON","ASSAULT","WINTER"
"36.801975"," -76.08031","SEPTEMBER","NIGHT","ASSAULT","FALL"
"36.858874"," -76.030459","JULY","EVENING","ASSAULT","SUMMER"
"36.850029"," -76.124256","NOVEMBER","EVENING","ASSAULT","FALL"
"36.794762"," -76.106223","JULY","NIGHT","ASSAULT","SUMMER"
"36.78169"," -76.0704","JANUARY","NIGHT","ASSAULT","WINTER"
"36.811952"," -76.086991","JUNE","EVENING","ASSAULT","SUMMER"
"36.837689"," -76.132274","MAY","NIGHT","ASSAULT","SPRING"
"36.866705"," -76.032726","JUNE","NIGHT","ASSAULT","SUMMER"
"36.833745"," -75.984291","DECEMBER","EVENING","ASSAULT","WINTER"
"36.807155"," -76.10625","MAY","NIGHT","ASSAULT","SPRING"
"36.795499"," -76.106397","AUGUST","NIGHT","ASSAULT","SUMMER"
"36.781106"," -76.110353","MARCH","MORNING","ASSAULT","SPRING"
"36.771315"," -76.198965","JANUARY","MORNING","ASSAULT","WINTER"
"36.852502"," -76.035927","JULY","NIGHT","ASSAULT","SUMMER"
"36.845336"," -75.974265","OCTOBER","NIGHT","ASSAULT","FALL"
"36.807365"," -76.169824","MARCH","NIGHT","ASSAULT","SPRING"
"36.852701"," -76.135977","JUNE","MORNING","ASSAULT","SUMMER"
"36.849479"," -75.975392","OCTOBER","NIGHT","ASSAULT","FALL"
"36.835288"," -76.120386","AUGUST","MORNING","ASSAULT","SUMMER"
"36.865908"," -76.134992","DECEMBER","NIGHT","ASSAULT","WINTER"
"36.841782"," -76.11376","JUNE","AFTERNOON","ASSAULT","SUMMER"
"36.795468"," -76.12574","JULY","NIGHT","ASSAULT","SUMMER"
"36.839435"," -76.009309","SEPTEMBER","AFTERNOON","ASSAULT","FALL"
"36.814126"," -76.170796","JANUARY","AFTERNOON","ASSAULT","WINTER"
"36.807126"," -76.180432","MARCH","NIGHT","ASSAULT","SPRING"
"36.845506"," -76.120821","APRIL","MORNING","ASSAULT","SPRING"
"36.756346"," -76.011698","SEPTEMBER","AFTERNOON","ASSAULT","FALL"
"36.845514"," -75.994785","JANUARY","NIGHT","ASSAULT","WINTER"
"36.800096"," -76.079549","FEBRUARY","NIGHT","ASSAULT","WINTER"
"36.793076"," -76.119071","MAY","AFTERNOON","ASSAULT","SPRING"
"36.788876"," -76.170471","APRIL","NIGHT","ASSAULT","SPRING"
"36.828632"," -76.134522","JUNE","AFTERNOON","ASSAULT","SUMMER"
"36.796171"," -76.077369","MAY","NIGHT","ASSAULT","SPRING"
"36.794013"," -76.107133","FEBRUARY","EVENING","ASSAULT","WINTER"
"36.864358"," -76.183365","FEBRUARY","EVENING","ASSAULT","WINTER"
"36.835742"," -76.090198","DECEMBER","NIGHT","ASSAULT","WINTER"
"36.852069"," -76.163206","NOVEMBER","EVENING","ASSAULT","FALL"
"36.848012"," -75.995604","JUNE","NIGHT","ASSAULT","SUMMER"
"36.833678"," -76.101821","SEPTEMBER","EVENING","ASSAULT","FALL"
"36.850043"," -76.057236","JANUARY","EVENING","ASSAULT","WINTER"
"36.869292"," -76.163367","JUNE","NIGHT","ASSAULT","SUMMER"
"36.837548"," -75.973463","SEPTEMBER","NIGHT","ASSAULT","FALL"
"36.845795"," -76.056271","AUGUST","AFTERNOON","ASSAULT","SUMMER"
"36.851337"," -76.157342","OCTOBER","NIGHT","ASSAULT","FALL"
"36.754592"," -76.058612","AUGUST","MORNING","ASSAULT","SUMMER"
"36.8435"," -76.125923","FEBRUARY","MORNING","ASSAULT","WINTER"
"36.83138"," -76.079416","SEPTEMBER","NIGHT","ASSAULT","FALL"
"36.778757"," -76.072499","OCTOBER","EVENING","ASSAULT","FALL"
"36.849995"," -75.976882","APRIL","NIGHT","ASSAULT","SPRING"
"36.84475"," -75.977686","JULY","MORNING","ASSAULT","SUMMER"
"36.88732"," -76.035267","APRIL","NIGHT","ASSAULT","SPRING"
"36.82607"," -76.15026","MAY","EVENING","ASSAULT","SPRING"
"36.809396"," -76.119408","DECEMBER","NIGHT","ASSAULT","WINTER"
"36.803345"," -76.110259","JANUARY","MORNING","ASSAULT","WINTER"
"36.808628"," -75.979424","JULY","NIGHT","ASSAULT","SUMMER"
"36.831226"," -76.074958","APRIL","AFTERNOON","ASSAULT","SPRING"
"36.839375"," -76.101873","JANUARY","NIGHT","ASSAULT","WINTER"
"36.842197"," -76.160385","MARCH","MORNING","ASSAULT","SPRING"
"36.849327"," -75.980681","DECEMBER","AFTERNOON","ASSAULT","WINTER"
"36.75775"," -76.1358","SEPTEMBER","AFTERNOON","ASSAULT","FALL"
"36.774297"," -76.122539","MARCH","AFTERNOON","ASSAULT","SPRING"
"36.85363"," -76.038783","AUGUST","NIGHT","ASSAULT","SUMMER"
"36.792114"," -76.182335","JULY","NIGHT","ASSAULT","SUMMER"
"36.777306"," -75.971268","JUNE","MORNING","ASSAULT","SUMMER"
"36.835978"," -75.986985","JUNE","NIGHT","ASSAULT","SUMMER"
"36.827281"," -76.162711","NOVEMBER","NIGHT","ASSAULT","FALL"
"36.770481"," -76.18095","DECEMBER","NIGHT","ASSAULT","WINTER"
"36.796184"," -76.10825","AUGUST","MORNING","ASSAULT","SUMMER"
"36.863354"," -76.091711","JANUARY","EVENING","ASSAULT","WINTER"
"36.833745"," -75.984291","JULY","MORNING","ASSAULT","SUMMER"
"36.850785"," -76.157954","DECEMBER","AFTERNOON","ASSAULT","WINTER"
"36.793106"," -76.131861","NOVEMBER","MORNING","ASSAULT","FALL"
"36.791827"," -76.191479","APRIL","MORNING","ASSAULT","SPRING"
"36.851485"," -75.975941","JULY","AFTERNOON","ASSAULT","SUMMER"
"36.835286"," -76.116129","DECEMBER","NIGHT","ASSAULT","WINTER"
"36.887716"," -75.985883","MARCH","MORNING","ASSAULT","SPRING"
"36.86392"," -76.172243","MARCH","AFTERNOON","ASSAULT","SPRING"
"36.858756"," -75.981391","JUNE","NIGHT","ASSAULT","SUMMER"
"36.861161"," -76.134887","JUNE","AFTERNOON","ASSAULT","SUMMER"
"36.86859"," -76.161394","AUGUST","MORNING","ASSAULT","SUMMER"
"36.805679"," -76.207205","FEBRUARY","MORNING","ASSAULT","WINTER"
"36.846892"," -76.053956","FEBRUARY","NIGHT","ASSAULT","WINTER"
"36.823635"," -76.210772","NOVEMBER","NIGHT","ASSAULT","FALL"
"36.912561"," -76.072497","DECEMBER","EVENING","ASSAULT","WINTER"
"36.816102"," -76.182286","JUNE","EVENING","ASSAULT","SUMMER"
"36.819837"," -76.125796","JUNE","EVENING","ASSAULT","SUMMER"
"36.807728"," -75.990703","JULY","EVENING","ASSAULT","SUMMER"
"36.789465"," -76.181451","NOVEMBER","AFTERNOON","ASSAULT","FALL"
"36.864752"," -76.174716","AUGUST","NIGHT","ASSAULT","SUMMER"
"36.804497"," -76.093833","AUGUST","NIGHT","ASSAULT","SUMMER"
"36.814528"," -76.145472","JULY","MORNING","ASSAULT","SUMMER"
"36.826095"," -76.076106","JUNE","NIGHT","ASSAULT","SUMMER"
"36.800397"," -76.080313","JANUARY","NIGHT","ASSAULT","WINTER"
"36.843585"," -76.131499","JUNE","EVENING","ASSAULT","SUMMER"
"36.837618"," -76.184676","JUNE","MORNING","ASSAULT","SUMMER"
"36.837758"," -76.114092","OCTOBER","NIGHT","ASSAULT","FALL"
"36.806084"," -76.176753","SEPTEMBER","NIGHT","ASSAULT","FALL"
