Lat,Long,Month,Period,Offense,Season
36.688696,-75.92328,MAY,AFTERNOON,ASSAULT,SPRING
36.693848,-75.925354,JULY,AFTERNOON,HIT & RUN,SUMMER
36.696748,-75.92653,MAY,AFTERNOON,DESTRUCTION OF PROPERTY,SPRING
36.696748,-75.92653,DECEMBER,NIGHT,HIT & RUN,WINTER
36.696748,-75.92653,AUGUST,EVENING,ASSAULT,SUMMER
36.696748,-75.92653,MAY,MORNING,ASSAULT,SPRING
36.696748,-75.92653,SEPTEMBER,NIGHT,LARCENY,FALL
36.696748,-75.92653,MAY,MORNING,LARCENY,SPRING
36.696748,-75.92653,MAY,NIGHT,DESTRUCTION OF PROPERTY,SPRING
36.696748,-75.92653,MAY,MORNING,DESTRUCTION OF PROPERTY,SPRING
36.696748,-75.92653,NOVEMBER,NIGHT,ASSAULT,FALL
36.696748,-75.92653,OCTOBER,MORNING,FRAUD,FALL
36.696748,-75.92653,JUNE,NIGHT,ASSAULT,SUMMER
36.702531,-75.927664,AUGUST,NIGHT,LARCENY,SUMMER
36.702531,-75.927664,MAY,EVENING,LARCENY,SPRING
36.702531,-75.927664,MAY,AFTERNOON,LARCENY,SPRING
36.702531,-75.927664,AUGUST,EVENING,LARCENY,SUMMER
36.702531,-75.927664,JUNE,NIGHT,LARCENY,SUMMER
36.702531,-75.927664,JUNE,MORNING,LARCENY,SUMMER
36.702531,-75.927664,MARCH,MORNING,FRAUD,SPRING
36.557126,-75.927938,JUNE,MORNING,LARCENY,SUMMER
36.70211,-75.928694,AUGUST,MORNING,ASSAULT,SUMMER
36.70211,-75.928694,MARCH,NIGHT,DESTRUCTION OF PROPERTY,SPRING
36.70211,-75.928694,SEPTEMBER,NIGHT,DESTRUCTION OF PROPERTY,FALL
36.70211,-75.928694,JULY,EVENING,DESTRUCTION OF PROPERTY,SUMMER
36.70211,-75.928694,AUGUST,NIGHT,LARCENY,SUMMER
36.70211,-75.928694,JUNE,NIGHT,LARCENY,SUMMER
36.70211,-75.928694,OCTOBER,NIGHT,ASSAULT,FALL
36.708501,-75.930093,MAY,AFTERNOON,HIT & RUN,SPRING
36.708501,-75.930093,APRIL,MORNING,LARCENY,SPRING
36.708238,-75.931172,JANUARY,NIGHT,ASSAULT,WINTER
36.708238,-75.931172,JANUARY,MORNING,DESTRUCTION OF PROPERTY,WINTER
36.713389,-75.932075,OCTOBER,NIGHT,LARCENY,FALL
